Country,Year,Demand MWh per capita,Imports TWh,Emissions mtCO2,Generation TWh,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,Renewables,Non Renewables,% Renewables,% Non Renewables,Price (EUR/MWhe),Temperature Change ºC
Sweden,2009,15.19,4.69,7.84,136.6,11.46,0.51,1.56,65.85,52.17,2.55,0.0,0.01,2.49,79.81,56.79,58.42606149341141,41.57393850658857,,1.435
Sweden,2010,16.05,2.08,10.61,148.45,12.19,1.02,2.91,66.4,57.83,4.6,0.0,0.01,3.49,82.09,66.36,55.29808016167059,44.701919838329395,,-0.281
Sweden,2011,15.11,-7.23,8.79,150.28,11.54,0.66,1.58,66.43,60.47,3.48,0.0,0.01,6.11,84.09,66.19,55.95554964067075,44.044450359329254,,1.277
Sweden,2012,15.37,-19.57,8.26,166.43,12.19,0.48,0.92,78.93,64.04,2.69,0.0,0.02,7.16,98.3,68.13000000000001,59.06387069638887,40.93612930361113,,1.318
Sweden,2013,14.82,-10.0,7.63,153.03,11.45,0.65,0.85,61.36,66.46,2.38,0.0,0.04,9.84,82.69000000000001,70.33999999999999,54.03515650526043,45.9648434947396,,0.86
Sweden,2014,14.15,-15.62,6.9,153.55,10.7,0.37,0.42,63.76,64.88,2.14,0.0,0.05,11.23,85.74,67.81,55.838489091501145,44.16151090849887,,2.704
Sweden,2015,14.15,-22.6,7.31,162.0,10.77,0.39,0.45,75.31,56.35,2.31,0.0,0.1,16.32,102.5,59.50000000000001,63.27160493827161,36.7283950617284,22.073333333333334,2.078
Sweden,2016,14.48,-11.73,7.51,155.89,11.49,0.26,0.68,62.02,63.1,2.72,0.0,0.14,15.48,89.13000000000001,66.76,57.17493104111875,42.82506895888127,29.215,1.846
Sweden,2017,14.44,-18.99,7.72,164.23,12.08,0.32,0.33,65.14,65.7,2.82,0.0,0.23,17.61,95.06,69.17,57.882238324301305,42.11776167569873,31.35083333333333,1.59
Sweden,2018,14.38,-17.22,7.78,163.36,11.91,0.34,0.38,62.21,68.55,2.94,0.0,0.41,16.62,91.15,72.21,55.797012732615094,44.20298726738492,44.780833333333334,1.843
Sweden,2019,13.86,-26.16,7.92,168.42,13.04,0.21,0.29,65.37,66.13,2.85,0.0,0.68,19.85,98.94,69.47999999999999,58.745992162451024,41.25400783754898,38.56333333333333,1.567
Sweden,2020,13.39,-25.0,6.94,163.79,11.18,0.0,0.1,72.39,49.2,2.34,0.0,1.05,27.53,112.14999999999999,51.64,68.47182367665913,31.528176323340862,20.7375,
Sweden,2021,13.97,-25.57,7.87,171.77,13.08,0.01,0.29,73.89,52.97,2.76,0.0,1.53,27.24,115.74,56.029999999999994,67.38079990685219,32.61920009314781,64.22,
Sweden,2022,13.23,-33.22,7.74,171.68,12.66,0.01,0.29,69.16,51.22,2.76,0.0,2.34,33.24,117.4,54.279999999999994,68.38303821062442,31.61696178937558,119.3725,
Switzerland,2000,7.61,-7.07,2.98,61.75,0.14,0.0,0.0,33.85,25.12,2.63,0.0,0.01,0.0,34.0,27.75,55.06072874493927,44.93927125506073,,1.421
Switzerland,2001,7.78,-10.44,3.16,66.63,0.14,0.0,0.0,38.29,25.47,2.72,0.0,0.01,0.0,38.44,28.189999999999998,57.69173045174845,42.30826954825153,,1.45
Switzerland,2002,7.78,-4.51,3.07,61.13,0.14,0.0,0.0,32.32,25.87,2.79,0.0,0.01,0.0,32.47,28.66,53.11630950433502,46.88369049566498,,1.264
Switzerland,2003,7.91,-3.11,3.11,61.08,0.14,0.0,0.0,31.95,26.11,2.86,0.0,0.02,0.0,32.11,28.97,52.57039947609692,47.429600523903076,,1.85
Switzerland,2004,7.99,-0.7,3.12,59.65,0.15,0.0,0.0,30.94,25.61,2.92,0.0,0.02,0.01,31.12,28.53,52.17099748533109,47.8290025146689,,0.98
Switzerland,2005,8.12,6.35,3.08,53.93,0.16,0.0,0.0,28.66,22.11,2.97,0.0,0.02,0.01,28.85,25.08,53.49527164843316,46.50472835156684,,0.814
Switzerland,2006,8.11,2.7,3.21,57.93,0.16,0.0,0.0,28.27,26.37,3.1,0.0,0.02,0.01,28.46,29.470000000000002,49.12825824270672,50.871741757293286,,1.1
Switzerland,2007,7.96,-2.06,3.24,62.06,0.15,0.0,0.0,32.36,26.49,3.01,0.0,0.03,0.02,32.56,29.5,52.465356106993234,47.534643893006766,,1.816
Switzerland,2008,8.06,-1.13,3.28,62.72,0.15,0.0,0.0,33.21,26.27,3.04,0.0,0.03,0.02,33.410000000000004,29.31,53.268494897959194,46.73150510204081,,1.206
Switzerland,2009,7.78,-2.16,3.24,62.3,0.13,0.0,0.0,32.83,26.27,3.0,0.0,0.05,0.02,33.03,29.27,53.017656500802566,46.98234349919743,,1.377
Switzerland,2010,8.0,0.52,3.45,62.05,0.14,0.0,0.0,33.26,25.2,3.32,0.0,0.09,0.04,33.53,28.52,54.03706688154715,45.96293311845287,,0.461
Switzerland,2011,7.81,2.59,3.41,59.2,0.15,0.0,0.0,29.91,25.56,3.34,0.0,0.17,0.07,30.3,28.9,51.182432432432435,48.81756756756757,,1.667
Switzerland,2012,7.75,-2.2,3.65,64.17,0.15,0.0,0.0,35.78,24.34,3.51,0.0,0.3,0.09,36.32,27.85,56.59965716066697,43.40034283933302,,1.513
Switzerland,2013,7.71,-2.4,3.65,64.72,0.15,0.0,0.0,35.63,24.87,3.48,0.0,0.5,0.09,36.370000000000005,28.35,56.19592088998764,43.80407911001235,,0.782
Switzerland,2014,7.38,-5.49,3.59,65.94,0.14,0.0,0.0,35.12,26.37,3.37,0.0,0.84,0.1,36.2,29.740000000000002,54.898392478010315,45.10160752198969,,2.15
Switzerland,2015,7.38,-1.03,3.53,62.15,0.12,0.0,0.0,35.38,22.09,3.33,0.0,1.12,0.11,36.73,25.42,59.09895414320193,40.90104585679807,40.321666666666665,1.951
Switzerland,2016,7.34,3.92,3.68,57.5,0.15,0.0,0.0,31.98,20.24,3.69,0.0,1.33,0.11,33.57,23.93,58.38260869565217,41.61739130434783,37.85666666666666,1.835
Switzerland,2017,7.36,5.55,3.68,56.62,0.16,0.0,0.0,31.48,19.5,3.67,0.0,1.68,0.13,33.45,23.17,59.07806428823738,40.92193571176263,45.9575,1.811
Switzerland,2018,7.13,-1.59,3.66,62.27,0.15,0.0,0.0,32.1,24.41,3.54,0.0,1.95,0.12,34.32,27.95,55.11482254697286,44.88517745302714,52.21,2.317
Switzerland,2019,7.03,-6.26,3.78,66.5,0.15,0.0,0.0,35.16,25.28,3.58,0.0,2.18,0.15,37.63999999999999,28.86,56.601503759398476,43.39849624060149,40.95166666666667,2.075
Switzerland,2020,7.16,-5.56,3.9,67.41,0.16,0.0,0.0,37.87,22.99,3.64,0.0,2.6,0.15,40.779999999999994,26.63,60.495475448746475,39.504524551253525,33.98833333333334,
Switzerland,2021,7.29,2.66,2.86,60.72,0.1,0.0,0.0,36.96,18.35,2.27,0.0,2.89,0.15,40.1,20.62,66.04084321475625,33.959156785243735,114.56916666666666,
Switzerland,2022,7.5,2.94,2.84,62.25,0.1,0.0,0.0,34.11,23.01,2.27,0.0,2.7,0.06,36.970000000000006,25.28,59.389558232931726,40.610441767068274,280.99666666666667,
